Day,Description,Temperature
Tonight,Thundery showers and a gentle breeze,Low26° 78°
Monday 21st SeptemberMon 21st,Thundery showers and a gentle breeze,High30° 87°Low25° 77°
Tuesday 22nd SeptemberTue 22nd,Thundery showers and a gentle breeze,High30° 87°Low25° 78°
Wednesday 23rd SeptemberWed 23rd,Thundery showers and a gentle breeze,High31° 88°Low26° 78°
Thursday 24th SeptemberThu 24th,Light rain showers and a gentle breeze,High31° 87°Low25° 77°
Friday 25th SeptemberFri 25th,Light cloud and a gentle breeze,High31° 87°Low25° 77°
Saturday 26th SeptemberSat 26th,Light cloud and a gentle breeze,High30° 87°Low25° 77°
Sunday 27th SeptemberSun 27th,Light cloud and a gentle breeze,High31° 87°Low25° 77°
Monday 28th SeptemberMon 28th,Sunny intervals and a gentle breeze,High31° 89°Low25° 77°
Tuesday 29th SeptemberTue 29th,Sunny intervals and a gentle breeze,High31° 89°Low25° 77°
Wednesday 30th SeptemberWed 30th,Sunny intervals and a gentle breeze,High31° 88°Low25° 77°
Thursday 1st OctoberThu 1st,Light cloud and a gentle breeze,High32° 89°Low25° 77°
Friday 2nd OctoberFri 2nd,Light cloud and a gentle breeze,High32° 89°Low25° 77°
Saturday 3rd OctoberSat 3rd,Light cloud and a gentle breeze,High32° 89°Low25° 77°
